ID;Labels
D2-101;Human
D2-102;OpenAI
D2-103;Human
D2-104;Anthropic
D2-105;Anthropic
D2-106;Anthropic
D2-107;OpenAI
D2-108;Human
D2-109;OpenAI
D2-110;Anthropic
D2-111;Human
D2-112;Anthropic
D2-113;Anthropic
D2-114;OpenAI
D2-115;OpenAI
D2-116;Anthropic
D2-117;Anthropic
D2-118;Anthropic
D2-119;Human
D2-120;OpenAI
D2-121;Human
D2-122;Human
D2-123;Meta
D2-124;Human
D2-125;Anthropic
D2-126;Human
D2-127;Human
D2-128;Anthropic
D2-129;Human
D2-130;OpenAI
D2-131;OpenAI
D2-132;Human
D2-133;Anthropic
D2-134;Anthropic
D2-135;Anthropic
D2-136;Human
D2-137;Human
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Human
D2-142;Human
D2-143;Anthropic
D2-144;Human
D2-145;OpenAI
D2-146;Google
D2-147;OpenAI
D2-148;Anthropic
D2-149;Human
D2-150;Anthropic
D3-1;Anthropic
D3-2;OpenAI
D3-3;OpenAI
D3-4;Google
D3-5;Anthropic
D3-6;Anthropic
D3-7;Human
D3-8;Human
D3-9;Human
D3-10;Human
D3-11;Human
D3-12;Google
D3-13;OpenAI
D3-14;Meta
D3-15;Anthropic
D3-16;Human
D3-17;OpenAI
D3-18;Anthropic
D3-19;Human
D3-20;Google
D3-21;Human
D3-22;OpenAI
D3-23;Human
D3-24;Anthropic
D3-25;Human
D3-26;Meta
D3-27;Anthropic
D3-28;Anthropic
D3-29;OpenAI
D3-30;OpenAI
D3-31;Anthropic
D3-32;Anthropic
D3-33;OpenAI
D3-34;OpenAI
D3-35;Anthropic
D3-36;Anthropic
D3-37;Anthropic
D3-38;Anthropic
D3-39;OpenAI
D3-40;Anthropic
D3-41;Google
D3-42;OpenAI
D3-43;OpenAI
D3-44;Human
D3-45;OpenAI
D3-46;Anthropic
D3-47;Anthropic
D3-48;Anthropic
D3-49;Meta
D3-50;Google
D3-51;Human
D3-52;Anthropic
D3-53;OpenAI
D3-54;Human
D3-55;Meta
D3-56;Anthropic
D3-57;Google
D3-58;OpenAI
D3-59;OpenAI
D3-60;OpenAI
D3-61;Human
D3-62;Anthropic
D3-63;Anthropic
D3-64;Human
D3-65;OpenAI
D3-66;Anthropic
D3-67;Anthropic
D3-68;Anthropic
D3-69;Human
D3-70;OpenAI
D3-71;Human
D3-72;OpenAI
D3-73;OpenAI
D3-74;Human
D3-75;Anthropic
D3-76;Human
D3-77;Human
D3-78;Human
D3-79;Meta
D3-80;Meta
D3-81;Anthropic
D3-82;Anthropic
D3-83;Meta
D3-84;Anthropic
D3-85;Human
D3-86;Human
D3-87;Anthropic
D3-88;OpenAI
D3-89;Human
D3-90;OpenAI
D3-91;Anthropic
D3-92;OpenAI
D3-93;Anthropic
D3-94;Human
D3-95;Human
D3-96;Anthropic
D3-97;Human
D3-98;Anthropic
D3-99;Anthropic
D3-100;Human
