text,label
"I see a lot of students use there phones in class, but maybe if you give them other free times to use it they may not use it during class periods. Having to use phones in your own free time is not a bad idea, but need to remember to turned off their phones in class.

From: STUDENT_NAME

2/28/11. Dear. Principal,

I think the best and awesome policy is policy number 1 , because the students need their cell phones to call their family members to pick them up",Human
"                                    . I think is important because de Churchill have a important place and the ministery British work in that.

Also is important because is recognized for many people.

The ministery British is play for that important role.

I think the people is interested for that.

That help many people.

sometimes the people helps to others and work together for had a good ministery and for help the government or the country and if that some people obtained any help for the education for the kids.

Also the mayor is a good person he received the support of his country and all the community has a good life",Human
"the principal said, that the community service will be due by in two week but we are go to perform the community service inside the GYM for all the students could hear us and see us said, are community service. They should require to perform community service because why will take time from my friend for community service. It will not take time from you guy just by doing that community service because it must take some time to learn a community service by telling are principal that we could do the community service. For that he could believes on us that we could do community service like other people from other elementary school",Human
"One way that the principal should decide is by choosing the people that got a 75% or higher on their report card.. By helping people in the hospital, you can help people that are sick and in the streets you can help clean up from the parks and the street floor. For example, some tutor elementary school children and others clean up litter. Also i think that the principal should decide the people that should do community service. Dear principal, ''This is what i think about community service.""

I think community service is helpful because you can help the community. Community service is helpful because you can help people in the hospital and you can clean the streets",Human
"if you let these wonderful kids participate in the activities trust me they will try harder to get better grades and to make your school top in the state. but once their fun is over they must go back to work. thank you for letting me share my opinion . these kids just don't want to work they want to have some fun with their friends. Dear, Principal

These kids should be allowed to participate in the sports and activities.            . these kids wake up ever morning to go school to study and work hard. the kids a your school try very hard to get over a D to participate in your activities",Human
"Dear, Principal

I think your students should have community service but i think its only fair to the people that do something bad to do community service, because for example some of the students at school litter and if they do and you catch them you should make them do community service for littering. not all students should do that only the kids that act up because if you put all the kids in that your gana be taking their time away and its gana be worst there gana get mad.

Sincerely,

STUDENT_NAME",Human
"students should be required to perform community serves like by helping clean the school and the parks, and the students can also help other students with there homework ' it is very important to help the community, but many people don't know it and i think that it is a very good idea to have a talk with people about all the thing that they can do to help out also it is a nice idea to talk to parents all the thing that we are trying to do with all of this and so they can get some students entreated and helping'

to ; STUDENT_NAME",Human
"That's why I think that the principal should not change the school sports policy.. And they may feel that they are not good in any thing but sports; and it motivates you to be better in school it teaches you how to cooperate with other student , how to be a good leader/captain, and many more. But if you take that away from them there going to have nothing and they wont be looking forward to going to school. I think that the principal should not change the school policy because there are many students in school that the only thing that make them happy is sports; and that is what makes them stay away from trouble",Human
"dear principal

i think some of student want to go help the community and some of them didn't want to help the community but i think that student should perform community service because we not let down the student who wants to go and help the community because if u say the student will not perform community some of student will think that this is unfair and they will not agree with this decision. have a great decision and also thank you.. all i have to say is that student should perform community",Human
"Then the parents can go and have a protest that wouldn't be good.

That's why the first policy is better.

Sincerely,

Your student

STUDENT_NAME. What would happen if something bad would happen after school how are they going to call their parents and if you don't let them bring the phones at all their parents would probably get mad. DEAR PINCIPAL:

I believe that the first policy is better because phones are good but no when are use in class.

Just imagine that something is bad how are they going to talk with their parents if they don't have phones",Human
