ID;Labels
D2-126;OpenAI
D2-127;Human
D2-128;Anthropic
D2-129;Human
D2-130;Anthropic
D2-131;Human
D2-132;Human
D2-133;Anthropic
D2-134;Anthropic
D2-135;Anthropic
D2-136;Human
D2-137;Human
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;OpenAI
D2-142;Human
D2-143;Human
D2-144;Human
D2-145;Meta
D2-146;Anthropic
D2-147;Human
D2-148;Anthropic
D2-149;Human
D2-150;Anthropic
D3-76;Anthropic
D3-77;Human
D3-78;Anthropic
D3-79;Meta
D3-80;Meta
D3-81;Anthropic
D3-82;Anthropic
D3-83;Anthropic
D3-84;Anthropic
D3-85;Human
D3-86;Human
D3-87;Anthropic
D3-88;OpenAI
D3-89;Anthropic
D3-90;Anthropic
D3-91;Anthropic
D3-92;OpenAI
D3-93;Anthropic
D3-94;Anthropic
D3-95;Human
D3-96;Anthropic
D3-97;Human
D3-98;Anthropic
D3-99;Anthropic
D3-100;Human
D4-1;OpenAI
D4-2;Human
D4-3;OpenAI
D4-4;OpenAI
D4-5;Anthropic
D4-6;Human
D4-7;OpenAI
D4-8;OpenAI
D4-9;Human
D4-10;OpenAI
D4-11;Google
D4-12;OpenAI
D4-13;OpenAI
D4-14;Human
D4-15;Human
D4-16;Human
D4-17;Anthropic
D4-18;Human
D4-19;Meta
D4-20;Anthropic
D4-21;OpenAI
D4-22;Anthropic
D4-23;Human
D4-24;OpenAI
D4-25;Human
D4-26;Anthropic
D4-27;Anthropic
D4-28;Meta
D4-29;Anthropic
D4-30;Meta
D4-31;Google
D4-32;Human
D4-33;Anthropic
D4-34;Human
D4-35;Anthropic
D4-36;Human
D4-37;Anthropic
D4-38;Human
D4-39;Anthropic
D4-40;Anthropic
D4-41;OpenAI
D4-42;OpenAI
D4-43;Human
D4-44;Anthropic
D4-45;Human
D4-46;Meta
D4-47;Anthropic
D4-48;Human
D4-49;Anthropic
D4-50;Anthropic
D4-51;Anthropic
D4-52;OpenAI
D4-53;Human
D4-54;Google
D4-55;Human
D4-56;Anthropic
D4-57;Anthropic
D4-58;Anthropic
D4-59;Anthropic
D4-60;Meta
D4-61;Human
D4-62;Anthropic
D4-63;Anthropic
D4-64;Anthropic
D4-65;Google
D4-66;Meta
D4-67;Anthropic
D4-68;Anthropic
D4-69;Meta
D4-70;Anthropic
D4-71;Anthropic
D4-72;OpenAI
D4-73;Anthropic
D4-74;Human
D4-75;Google
D4-76;OpenAI
D4-77;Anthropic
D4-78;Anthropic
D4-79;Anthropic
D4-80;Anthropic
D4-81;OpenAI
D4-82;Anthropic
D4-83;OpenAI
D4-84;Anthropic
D4-85;Anthropic
D4-86;Anthropic
D4-87;Google
D4-88;Anthropic
D4-89;Anthropic
D4-90;OpenAI
D4-91;Anthropic
D4-92;Anthropic
D4-93;Human
D4-94;Anthropic
D4-95;Anthropic
D4-96;Anthropic
D4-97;Anthropic
D4-98;Anthropic
D4-99;Anthropic
D4-100;Anthropic
