text,label
"Photosynthesis allows plants to convert solar energy into chemical food. The green pigment chlorophyll captures sunlight effectively during the day. Water and carbon dioxide are essential reactants in this process. Oxygen is released into the atmosphere as a helpful byproduct. Cellular respiration in animals uses oxygen to break down sugars. Mitochondria generate usable energy molecules called ATP for the cell. DNA molecules contain the genetic instructions for all living organisms. Proteins are synthesized by ribosomes reading these specific genetic codes. Evolution by natural selection explains the diversity of life forms. Ecosystems maintain a delicate balance between predators, prey, and producers.",Google
The human immune system defends the body against harmful pathogens. White blood cells identify and destroy invading bacteria and viruses. Antibodies are specialized proteins created to neutralize very specific threats. Vaccines train the immune system to recognize future viral infections. The lymphatic system transports fluids and immune cells throughout tissues. Inflammation is a natural response to injury or cellular damage. Fevers can inhibit the reproduction rates of many dangerous bacteria. Autoimmune diseases occur when the body attacks its own cells. Proper nutrition and sleep strongly support optimal immune system function. Memory cells provide long lasting immunity after an initial infection.,Google
"The human brain contains roughly eighty billion interconnected nerve cells. Neurons communicate via electrical impulses and chemical signals across synapses. The cerebral cortex is responsible for higher level cognitive functions. The cerebellum coordinates voluntary movements and helps maintain physical balance. The brainstem controls essential automatic functions like breathing and heartbeat. Neurotransmitters like dopamine regulate mood, motivation, and subjective reward feelings. Plasticity allows the brain to adapt and rewire throughout life. Memory formation involves strengthening the connections between frequently active neurons. Sleep is absolutely crucial for memory consolidation and brain health. Damage to specific brain regions can cause distinct functional deficits.",Google
"The theory of evolution forms the foundation of modern biology. Charles Darwin proposed natural selection as the primary evolutionary mechanism. Organisms with advantageous traits are more likely to survive longer. These survivors pass their beneficial genes to their subsequent offspring. Over many generations, species adapt more closely to their environments. Genetic mutations provide the raw material for new physical traits. Fossil records show a clear progression of ancient life forms. Homologous structures indicate common ancestry among very different animal species. Geographic isolation can lead to the formation of new species. Convergent evolution produces similar traits in completely unrelated wild organisms.",Google
The circulatory system pumps blood throughout the entire human body. The heart is a powerful muscle containing four distinct chambers. Arteries carry oxygenated blood away from the pumping heart muscle. Veins return deoxygenated blood back toward the central heart organ. Capillaries are tiny vessels where gas exchange occurs within tissues. Red blood cells contain hemoglobin to effectively transport vital oxygen. Blood pressure measures the force exerted on the artery walls. A healthy diet and regular exercise promote good cardiovascular health. High cholesterol can lead to dangerous blockages within the arteries. Oxygen delivery is essential for sustaining active cellular metabolic processes.,Google
Ecology is the study of interactions between organisms and environments. An ecosystem includes both living biological factors and nonliving components. Producers like plants create their own food using incoming sunlight. Consumers eat other living organisms to obtain necessary daily energy. Decomposers break down dead matter and recycle nutrients into soil. Food webs illustrate the complex feeding relationships within an ecosystem. Keystone species have a disproportionately large impact on their environment. Biodiversity refers to the incredible variety of life on Earth. Habitat destruction is a major leading cause of species extinction. Conservation efforts aim to protect vulnerable ecosystems from human damage.,Google
Genetics is the scientific study of heredity and inherited variation. Genes are segments of DNA that code for specific proteins. Alleles are different versions of a single specific inherited gene. Gregor Mendel discovered the fundamental laws of basic genetic inheritance. Dominant traits mask the physical expression of recessive genetic traits. A genotype represents the exact genetic makeup of an organism. The phenotype is the observable physical manifestation of these genes. Genetic engineering allows scientists to directly modify an organism's DNA. CRISPR technology has revolutionized the precision of modern gene editing. Human DNA is organized into exactly twenty three chromosome pairs.,Google
The digestive system breaks down food into usable nutritional components. Digestion begins in the mouth with chewing and salivary enzymes. The stomach uses strong acids to further dissolve ingested meals. The small intestine is where most nutrient absorption actually occurs. Villi line the intestinal walls to increase the surface area. The large intestine absorbs water and forms solid waste matter. The liver produces bile to help digest complex dietary fats. The pancreas releases crucial enzymes and regulates blood sugar levels. A healthy gut microbiome is vital for proper digestive function. Dietary fiber is necessary for maintaining regular bowel movement health.,Google
"Cell division is absolutely necessary for growth and tissue repair. Mitosis produces two identical daughter cells from one parent cell. The cell cycle consists of distinct growth and division phases. DNA replication occurs before the cell actually begins to divide. Prophase marks the visible condensation of chromosomes within the nucleus. During metaphase, chromosomes align perfectly along the central cell equator. Anaphase pulls the sister chromatids apart toward opposite cell poles. Telophase involves the formation of two distinct new nuclear membranes. Cytokinesis ultimately splits the cellular cytoplasm into two separate entities. Uncontrolled cell division can lead to the formation of tumors.",Google
Botany is the scientific branch focused entirely on plant life. Roots anchor plants and absorb essential water from the soil. Stems provide structural support and transport vital nutrients and water. Leaves are the primary biological sites for capturing incoming sunlight. Flowers contain the reproductive organs necessary for creating new seeds. Pollination occurs when wind or insects transfer pollen between flowers. Seeds contain plant embryos and a small initial food supply. Germination is the process where a seed sprouts into life. Deciduous trees lose their leaves during the colder winter months. Evergreen plants maintain their green foliage throughout the entire year.,Google
