Text,Label
"I know this question has a lot of answers already, but I feel the answers are phrased either strongly against, or mildly for, co-signing. What it amounts down to is that this is a personal choice. You cannot receive reliable information as to whether or not co-signing this loan is a good move due to lack of information. The person involved is going to know the person they would be co-signing for, and the people on this site will only have their own personal preferences of experiences to draw from. You know if they are reliable, if they will be able to pay off the loan without need for the banks to come after you.",Human
If you pay it off before the cycle closes it will look like you have 100% available credit. So if you credit card statement closes on the 7th pay it off on the 6th in full don't pay it when its due 2/3 weeks later. Then after three months of doing that your credit score will go up based on the fact that your debt ratio is so low. That ratio is 30% of your credit score. It will help quite alot.,Human
It is the first time I encounter redemption programme and I would like to know what are my options here You can hold on to the shares and automatically receive 2.25 SEK per share some time after 31-May; depending on how fast the company and its bank process the payouts. Alternatively you can trade in the said window for whatever the market is offering. how is this different from paying the dividend? I don't know much about Sweden laws. Structuring this way may be tax beneficial. The other benefit in in company's books the shareholders capital is reduced. can I trade these redemption shares during these 2 weeks in May?,Human
"The main disadvantage is that interest rates are higher for the interest-only loan. It's higher risk to the bank, since the principal outstanding is higher for longer. According to the New York Times, ""Interest rates are usually an eighth- to a half-percentage point higher than on fully amortized jumbo loans."" They're also tougher to qualify for, and fewer lenders offer them, again due to the risk to the bank. Since you can always put extra towards the principal, strictly speaking, these are the only  downsides. The upside, of course, is that you can make a lower payment each month. The question is what are you doing with this?",Human
"If this is the only way you can afford the payments, there's a good chance the house is too expensive for you. You're not building equity in the home, and you have the risk of being underwater if the house price goes down. If you're using the money for other things, or you have variable income, it might be a different story. For the former, reinvesting in a business you own might be a reason, if you're cognizant of the risks. For the latter, salespeople on commission, or financial industry types who get most of their income in bonuses, can benefit from the flexibility.",Human
"—they will pull your credit report and perform a ""hard inquiry"" on your file. This means the inquiry will be noted in your credit report and count against you, slightly. This is perfectly normal. Just don't apply too many times too soon or it can begin to add up. They will want proof of your income by asking for recent pay stubs. With this information, your income and your credit profile, they will determine the maximum amount of credit they will lend you and at what interest rate. The better your credit profile, the more money they can lend and the lower the rate.",Human
"—that you want financed (the price of the car minus your down payment) that is the amount you can apply for and in that case the only factors they will determine are 1) whether or not you will be approved and 2) at what interest rate you will be approved. While interest rates generally follow the direction of the prime rate as dictated by the federal reserve, there are market fluctuations and variances from one lending institution to the next. Further, different institutions will have different criteria in terms of the amount of credit they deem you worthy of. —you know the price of the car.",Human
"Now determine how much you want to put down and take the difference to a bank or credit union. Or, work directly with the dealer. Dealers often give special deals if you finance through them. A common scenario is: 1) A person goes to the car dealer 2) test drives 3) negotiates the purchase price 4) the salesman works the numbers to determine your monthly payment through their own bank. Pay attention during that last process. This is also where they can gain leverage in the deal and make money through the interest rate by offering longer loan terms to maximize their returns on your loan.",Human
"It's not necessarily a bad thing, it's just how they have to make their money in the deal. It's good to know so you can form your own analysis of the deal and make sure they don't completely bankrupt you. —is that you can comfortable afford your monthly payment. The car dealers don't really know how much you can afford. They will try to determine to the best they can but only you really know. Don't take more than you can afford. be conservative about it. For example: Think you can only afford $300 a month? Budget it even lower and make yourself only afford $225 a month.",Human
"The difference between TMUSP and TMUS is that the ""with P"" ticker is for a TMobile Preferred Stock offering. The ""without P"" ticker is for TMobile common stock. The difference between the apparent percentage yields is due to Yahoo! Stock misreporting the dividend on the preferred stock for the common stock, which has not paid a dividend (thanks Brick for pointing this out!) Preferred stock holders get paid first in the event of liquidation, in most scenarios they get paid first. They sometimes get better returns. They typically lack voting rights, and after a grace period, they may be recalled by the company at a fixed price (set when they were issued).",Human
"All Bank fees were included in the service tax ambit [For example Check bounce, issue of duplicate statement, fees charged for remittance etc]. However as quite a few Banks structured the Remittance Business to show less charges and cover the difference in the Fx rate involved, the Govt has redone the service tax and one needs to pay Rs 120 for an amount of Rs 100,000. There is no way to avoid service tax on remittance if you are using a remittance service.",Human
"How much should my down payment be? Ideally 20% of the purchase price because with 20% of the purchase price, you don't have to pay a costly private mortgage insurance (PMI). If you don't have 20% down and come across a good property to purchase, it is still a good idea to go forward with purchasing with what you are comfortable with, because renting long term is generally never a good idea if you want to build wealth and become financially independent. How much should I keep in my emergency fund? People say 3-12 months of living expenses. Keep in mind though, in most cases, if you lose your job, you are entitled to unemployment benefits from the government.",Human
"Use VTIVX. The ""Target Retirement 2045"" and ""Target Retirement 2045 Trust Plus"" are the same underlying fund, but the latter is offered through employers. The only differences I see are the expense ratio and the minimum investment dollars. But for the purposes of comparing funds, it should be pretty close. Here is the list of all of Vanguard's target retirement funds. Also, note that the ""Trust Plus"" hasn't been around as long, so you don't see the returns beyond the last few years. That's another reason to use plain VTIVX for comparison. See also: Why doesn't a mutual fund in my 401(k) have a ticker symbol?",Human
"Probably a bad assumption, but I'm assuming your in the United States. Keep in mind, that the check number is printed in 2 places on the front of each check. First, in the upper right corner, and also along the bottom edge on of the check. Since the check number is scanned by the bank from the bottom edge of the check, covering or otherwise modifying the check number on the upper left corner will have no effect on the check number that is recorded when the check is processed.",Human
"And, you can't modify or cover the numbers or place any marks in the area of the numbers along the bottom of the check as this will likely interfere with processing of checks. So, modifying the check numbers will not work. Your choices are basically to:   The check numbers are not used in any way in clearing the check, the numbers are only for your convenience, so processing checks with duplicate numbers won't matter. The check numbers are recorded when processed at your bank so they can be shown on your printed and online statements.",Human
"The only time the check number might be important is if you had to ""stop payment"" on a particular check, or otherwise inquire about a particular check. But this should not really be an issue because by the time you have used up the first batch of checks, and start using the checks with duplicate numbers, the first use of the early duplicate numbered checks will be sufficiently long ago that there should not be any chance of processing checks with duplicate numbers at the same time. You didn't mention how many checks you have with duplicate numbers, or how frequently you actually write checks so that may play a part in your decision.",Human
"In 2005, Apple announced a split on Feb 11... CUPERTINO, California — February 11, 2005 — Apple® announced today that its Board of Directors has approved a two-for-one split of the Company’s common stock and a proportional increase in the number of Apple common shares authorized from 900 million to 1.8 billion. Each shareholder of record at the close of business on February 18, 2005 will receive one additional share for every outstanding share held on the record date, and trading will begin on a split-adjusted basis on February 28, 2005. ...one month after announcing earnings. CUPERTINO, California—January 12, 2005—Apple® today announced financial results for its fiscal 2005 first quarter ended December 25, 2004.",Human
"For the quarter, the Company posted a net profit of $295 million, or $.70 per diluted share. These results compare to a net profit of $63 million, or $.17 per diluted share, in the year-ago quarter. Revenue for the quarter was $3.49 billion, up 74 percent from the year-ago quarter. Gross margin was 28.5 percent, up from 26.7 percent in the year-ago quarter. International sales accounted for 41 percent of the quarter’s revenue. I wouldn't expect Apple to offer another split, as it's become somewhat fashionable among tech companies to have high stock prices (see GOOG or NFLX or even BRK-A/BRK-B).",Human
"Additionally, as a split does nothing to the underlying value of the company, it shouldn't affect your decision to purchase AAPL. (That said, it may change the perception of a stock as ""cheap"" or ""expensive"" per human psychology). So, to answer your question: companies will usually announce a stock split after releasing their financial results for the preceding fiscal year. Regardless of results, though, splits happen when the board decides it is advantageous to the company to split its stocks.",Human
"Basically a company who provides health insurance for their employees provides it as part of the employee's salary package. This is an expense by the company in its pursuit of making income. In general, tax deductions are available on any expense incurred in deriving income (the exception is when social policy allows deductions for other types of expenses). If you pay for your own health insurance individually, then this expense is not an expense for you to derive your income, and as such is not tax deductible.",Human
"Please note that if you are self employed, then the profit sharing limit for both the SEP and Solo 401(k) is 20% of compensation, not 25%. There is no need for a SEP-IRA in this case. In addition to the 401(k) at work, you have a solo-401(k) for your consulting business. You can contribute $18,000 on the employee side across the two 401(k) plans however you wish. You can also contribute profit sharing up to 20% of compensation in your solo 401(k) plan. However, the profit sharing limit aggregates across all plans for your consulting business. If you max that out in your solo 401(k), then you cannot contribute to the SEP IRA.",Human
An option gives you the option rather than the obligation to buy (or sell) the underlying so you don't have to exercise you can just let the option expire (so long it doesn't have an automatic expiry). After expiration the option is worthless if it is out of the money but other than that has no hangover. Option prices normally drop as the time value of the option decays. An option has two values associated with it; time value and exercise value.,Human
Far out of the money (when the price of the underlying is far from the strike price on the losing side) options only have time value whereas deep in the money options (as yours seems to be) has some time value as well as the intrinsic value of the right to buy (sell) at a low (high) price and then sell (buy) the underlying. The time value of the option comes from the possibility that the price of the underlying will move (further) in your favour and make you more money at expiry.,Human
"As expiry closes it is less likely that there will be a favourable mood so this value declines which can cause prices to move sharply after a period of little to no revaluing. Up to now what I have said applies to both OTC and traded options but exchange traded options have another level of complexity in their trading; because there are fewer traders in the options market the size of trade at which you can move the market is much lower. On the equities markets you may need to trade millions of shares to have be substantial enough to significantly move a price, on the options markets it could be thousands or even hundreds.",Human
If these are European style options (which sounds likely) and a single trading entity was holding a large number of the exchange traded options and now thinks that the price will move significantly against them before expiry their sell trade will move the market lower in spite of the options being in the money. Their trade is based on their supposition that by the time they can exercise the option the price will be below the strike and they will lose money. They have cashed out at a price that suited them and limited what they will lose if they are right about the underlying.,Human
"Depends on the insurance company itself, as well as the costs of treatments. Imagine an ideal scenario where costs of treatments stayed the same, and that all insurance plans were segregated and pulled from the same pool of funds to pay for treatments. Then employer subsidized health insurance plans would be unaffected by the drama in the ACA plans. Those are the factors to consider, from my understanding. But I wouldn't be surprised if the burdens of accepting people that would previously never have been serviced by these companies has greatly distorted the market as a whole.",Human
"For starters, that site shows the first 5 levels on each side of the book, which is actually quite a bit of information. When traders say the top of the book, they mean just the first level. So you're already getting 8 extra levels. If you want all the details, you must subscribe to the exchange's data feeds (this costs thousands of dollars per month) or open an account with a broker who offers that information. More important than depth, however, is update frequency. The BATS site appears to update every 5 seconds, which is nowhere near frequently enough to see what's truly going on in the book.",Human
"An option is freely tradable, and all options (of the same kind) are equal. If your position is 0 and you sell 1 option, your new position in that option is -1. If the counterparty to your trade buys or sells more options to close, open, or even reopen their position afterwards, that doesn't matter to your position at all. Of course there's also the issue with American and European Options. European Options expire at their due date, but American Options expire at their due date or at any time before their due date if the holder decides they expire.",Human
"With American Options, if a holder of an American Option decides to exercise the option, someone who is short the same option will be assigned as the counterparty (this is usually random). Expiry is after market close, so if one of your short American Options expires early, you will need to reopen the position the next day. Keep in mind dividends for slightly increased complexity. American and European Options do not in any way refer to the continents they are traded on, or to the location of the companies. These terms simply describe the expiry rules.",Human
"I have a colleague who always leases cars first. He's very well off, has piles of money in savings, owns a home, and the cherry on top, he could just write a check for the car.... He sees the lease as an insurance policy on the first couple of years of the car's life. If it gets in an accident or he finds something about it he doesn't like, he can give it back to the dealer at the end of the term with no hassle and move on to the next car. Some people value the fact that a lease is a rental.",Human
"If you're leasing a luxury car or something you couldn't otherwise afford, no amount of mental gymnastics will turn this in to a good idea. Separately, you should never make a down payment on a lease. If the car is totaled early on, you will not recoupe the money you put down. The issue here is that while the numbers all work out the same between a lease and a purchase your situation is different. If the leased car is totaled, the bank gets its money back from an insurer. If that payment doesn't cover the value of the car, the GAP insurance will cover it. In either situation, if there's an excess remaining it will be returned to you.",Human
"The issue is the excess may not fully replace your down payment. If you then went to lease another car you would need to come up with that down payment again because you couldn't just simply choose to lease a used car; like you could in the case of a purchase. Additionally, GAP is generally included in a lease whether you want it or not. As far as I'm concerned it doesn't make financial sense to mitigate the value of the GAP coverage once you've decided to live in a lease situation.",Human
"The Russian ETFs may be broad, but a quick glance at ERUS and RBL's sector breakdown shows they're 45% and 47% energy sector, and their top holding is Gazprom comprising 9% and 14% of each ETF respectively, with plenty more oil and gas companies in their top 10 too. A harder question would be how to invest in Russia and avoid oil I think (and even then, the economy is thoroughly bound up in it). To rework a meme... In Soviet Russia, oil invest YOU!",Human
"The question Why would refinancing my mortgage increase my PMI, even though rates are lower? contains a decent discussion of PMI. It's based on the total amount you borrow, not just the difference to 80% LTV. For easy math, Say you put 15% down on a $100K house. Your PMI is 1.1%, not on the 'missing' $5000, but on the $85000 balance. So you are paying $935/yr extra due to the $5000 you didn't have available. In addition to the mortgage itself. Even at 90% LTV, you'd pay $990/yr for the fact that you are short $10,000. Other than this discussion of PMI calculations, Chad's answer is pretty thorough.",Human
"Academic research into ADRs seems to suggest that pairs-trading ADRs and their underlying shares reveals that there certainly are arbitrage opportunities, but that in most (but not all cases) such opportunities are quickly taken care of by the market. (See this article for the mexican case, the introduction has a list of other articles you could read on the subject). In some cases parity doesn't seem to be reached, which may have to do with transaction costs, the risk of transacting in a foreign market, as well as administrative & legal concerns that can affect the direct holder of a foreign share but don't impact the ADR holder (since those risks and costs are borne by the institution, which presumably has a better idea of how to manage such risks and costs).",Human
"It's also worth pointing out that there are almost always arbitrage opportunities that get snapped up quickly: the law of one price doesn't apply for very short time-frames, just that if you're not an expert in that particular domain of the market, it might as well be a law since you won't see the arbitrage opportunities fast enough. That is to say, there are always opportunities for arbitrage with ADRs but chances are YOU won't be able to take advantage of it (In the Mexican case, the price divergence seems to have an average half-life of ~3 days).",Human
"Some price divergence might be expected: ADR holders shouldn't be expected to know as much about the foreign market as the typical foreign share holder, and that uncertainty may also cause some divergence. There does seem to be some opportunity for arbitrage doing what you suggest in markets where it is not legally possible to short shares, but that likely is the value added from being able to short a share that belongs to a market where you can't do that.",Human
"Short Answer Collections agencies and the businesses they collect for are two different animals. If you don't want this to hurt your credit I suggest you deal directly with the hospital. Pay the bill, but prior to paying it get something in writing that specifically says that this will not be reported onto your credit. That is of course if the hospital even lets you pay them directly. Usually once something is sold to a collections company it's written off. Long Answer Credit reports are kind of a nightmare to deal with. The hospital just wants their money so they will sell debt off to collections companies.",Human
"The collections companies want to make money on the debt they've bought so they will do what ever it takes to get it out of you, including dinging your credit report. The credit bureaus are the biggest nightmare to deal with of all. Once something is reported on your credit history they do little to nothing to remove it. You can report it online but this is a huge mistake because when you report online you wave your rights to sue the credit bureaus if they don't investigate the matter properly. This of course leads to massive amounts of claims being under investigated. So what are your options once something hits your credit history?",Human
"I believe your statement is mostly correct:  ...all the expert recommendations are based on an inflexible conventional wisdom that presumes that all renters are relatively resource-poor. When you purchase a $50 electronic item at the store and are offered an extended warranty for $3, most people turn it down, not only because they don't think it's worth it, but also because in the event that the item fails between say years 1 and 3, they don't worry enough about that $50 to care if they have to buy a new one, or live without it. The percentage of your net worth also matters.",Human
"For example, if you had an entire loss tomorrow, you'd be out $20K if you needed to re-purchase your possessions. (30K minus 10K in current coverage.) $20K is approximately 1/44 or 2.3% of your net worth. If a catastrophe occurs and you only lose 2.3% of your net worth, some might consider that lucky, so from that point of view it isn't really a big deal. But on the flip side, if the extra insurance only costs you $50 more per year, you may not even notice that dent in your net worth either.",Human
"The best answer to this is: Read the fine print on your credit card agreement. What is common, at least in the US, is that you can make any charges you want during a time window. When the date comes around that your statement balance is calculated, you will owe interest on any amount that is showing up as outstanding in your account. Example... To revise the example you gave, let's say Jan 1. your account balance was $0. Jan. 3rd you went out and spent $1,000. Your account statement will be prepared every XX days... usually 30. So if your last statement was Dec. 27th, you can expect your next statement to be prepared ~Jan.24 or Jan. 27.",Human
"To be safe, (i.e. not accrue any interest charges) you will want to make sure that your balance shows $0 when your statement is next prepared. So back to the example you gave--if your balance showed $1,000... and you paid it off, but then charged $2,000 to it... so that there was now a new set of $2,000 charges in your account, then the bank would begin charging you interest when your next statement was prepared. Note that there are some cards that give you a certain number of days to pay off charges before accruing interest... it just goes back to my saying ""the best answer is read the fine print on your card agreement.""",Human
"We face the same issue here in Switzerland. My background: Institutional investment management, currency risk management. My thoughs are: Home Bias is the core concept of your quesiton. You will find many research papers on this topic. The main problems with a high home bias is that the investment universe in your small local investment market is usually geared toward your coutries large corporations. Lack of diversification: In your case: the ASX top 4 are all financials, actually banks, making up almost 25% of the index. I would expect the bond market to be similarly concentrated but I dont know. In a portfolio context, this is certainly a negative.",Human
"Liquidity: A smaller economy obviously has less large corporations when compared globally (check wikipedia / List_of_public_corporations_by_market_capitalization) thereby offering lower liquidity and a smaller investment universe. Currency Risk: I like your point on not taking a stance on FX. This simplifies the task to find a hedge ratio that minimises portfolio volatility when investing internationally and dealing with currencies. For equities, you would usually find that a hedge ratio anywhere from 0-30% is effective and for bonds one that ranges from 80-100%. The reason is that in an equity portfolio, currency risk contributes less to overall volatility than in a bond portfolio. Therefore you will need to hedge less to achieve the lowest possible risk.",Human
"Interestingly, from a global perspective, we find, that the AUD is a special case whereby, if you hedge the AUD you actually increase total portfolio risk. Maybe it has to do with the AUD being used in carry trades a lot, but that is a wild guess. Hedged share classes: You could buy the currency hedged shared classes of investment funds to invest globally without taking currency risks. Be careful to read exactly what and how the share class implements its currency hedging though.",Human
"My view is from the Netherlands, a EU country. Con: Credit cards are more risky. If someone finds your card, they can use it for online purchases without knowing any PIN, just by entering the card number, expiration date, and security code on the back. Worse, sometimes that information is stored in databases, and those get stolen by hackers! Also, you can have agreed to do periodic payments on some website and forgot about them, stopped using the service, and be surprised about the charge later.",Human
"Debit cards usually need some kind of device that requires your PIN to do online payments (the ones I have in the Netherlands do, anyway), and automated periodic payments are authorized at your bank where you can get an overview of the currently active ones. Con: Banks get a percentage of each credit card payment. Unlike debit cards where companies usually pay a tiny fixed fee for each transaction (of, say, half a cent), credit card payments usually cost them a percentage and it comes to much more, a significant part of the profit margin. I feel this is just wrong.",Human
"Con: automatic monthly payment can come at an unexpected moment With debit cards, the amount is withdrawn immediately and if the money isn't there, you get an error message allowing you to pay some other way (credit card after all, other bank account, cash, etc). When a recent monthly payment from my credit card was due to be charged from my bank account recently, someone else had been paid from it earlier that day and the money wasn't there. So I had to pay interest, on something I bought weeks ago... Pro: Credit cards apparently have some kind of insurance.",Human
"You should check with the Office of Student Affairs (or equivalent) at your University to see if you can accept Credit Cards. Many will only allow you to accept student organization dues paid in cash, check, or money order. Many universities will also provide your organization with basic operating funds, if you request it. Your first point of contact should be your faculty adviser, though. Your best bet would be to just use cash. Learn where the nearest ATMs are. If you are set on using credit cards, set up a PayPal account and just use it to reimburse the person who fronts the money (cover the markup).",Human
"Everyone will have to have a PayPal account set up, linked to their credit card. You can avoid fees by using a bank account. If you're so inclined, you can set up a Business account and have a PayPal Debit Card, but you'll want to check with your adviser / University by-laws to see if you're allowed. Don't expect any of these to work as website implementations. As you're a University group, you will undoubtedly be meeting in person such that an exchange of cash/check/money order would be trivial In short, you'll need to check into the rules of your University. Credit cards generally carry processing fees, charged to the merchant, which (on its own) carries some tax implications.",Human
"The best way to find good quality is to check the garment tag: What kind of material is it made of? Jersey 100% cotton or any 100% cotton is one of the best quality material for most casual clothing. Then, you should touch it (designer step/touching). You will get better along the way. If you think you will like it, it may be a good quality. You should try it. and look for similar material when shopping. It does not matter the store where you shop, you should check the garment quality because even at the expensive stores you can find bad quality.",Human
"Quality in Stitch: you should check the the garment stitch, look at the top and underneath stitches, watch for good and consist stitching pattern. especially the sides and armholes underneath of the garment. Style is something personal. Everybody has different style, but stores are classified by age targeting. If you can find a store that usually made your style, good quality material at reasonable price. you should consider shop there. Most of the time, it will cost a little bit more or much more. BUT CHEAP IS EXPENSIVE!! you end up spending more money at the end of the year. Reasonable means a fair price for both parties, You and the seller. Neither cheap or expensive.",Human
